id,class
1,dusk
2,water
3,flowers
4,scene
5,scene
6,cold
7,impressions
8,water
9,scene
10,water
11,water
12,dusk
13,water
14,dusk
15,water
16,dusk
17,impressions
18,scene
19,scene
20,cold
21,cold
22,flowers
23,cold
24,water
25,dusk
26,dusk
27,impressions
28,cold
29,trees
30,dusk
31,water
32,impressions
33,impressions
34,cold
35,trees
36,scene
37,water
38,cold
39,cold
40,water
41,water
42,water
43,dusk
44,cold
45,dusk
46,flowers
47,flowers
48,trees
49,dusk
50,dusk
51,water
52,impressions
53,water
54,trees
55,water
56,water
57,impressions
58,cold
59,scene
60,water
61,cold
62,flowers
63,cold
